Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Output 1,Output 2,Output 3,Output 4
49.20618662,92,45.4,23.5,26,493.541,27.654,34.388,1.307,14.497,65.135,2.29,10.405,11.36099484,1.055014811,9.072629106,0.89197312
21.8887637,461,35.6,29.8,21,153.711,19.341,31.383,2.009,2.91,22.055,2.29,14.825,60.00577596,3.115812369,7.681799499,0.313089369
82.60780498,314,53.8,34.5,19,377.246,16.78,7.604,1.853,10.65,31.632,2.265,9.716,154.851321,8.233930914,15.16180176,0.704206187
51.26498003,390,51.8,26.4,20,142.31,23.821,65.951,1.239,13.233,16.701,1.608,8.768,106.5722732,6.734444411,14.85617711,0.725930025
43.30636075,147,56.2,40.3,16,132.831,15.885,27.203,1.404,3.983,15.547,2.098,16.52,44.9058157,4.836657688,3.737776876,0.484148513
5.613028782,235,16.7,11.3,32,260.062,29.239,69.395,1.457,7.96,34.583,1.54,14.177,5.773747427,0.403833943,0.750831457,0.053175725
10.64222063,442,23.5,17.6,28,369.983,30.359,28.021,2.389,11.326,70.965,1.765,9.442,21.55699092,0.967804863,1.310987751,0.100498952
8.737068524,336,30.6,23.3,21,395.267,24.101,59.725,1.723,11.053,79.023,1.743,14.66,10.46369224,0.627309991,2.39471701,0.125955383
60.53467172,481,47.2,30,25,423.111,28.825,18.663,1.962,14.163,49.3,1.214,17.814,139.1363853,5.822053511,13.74493896,0.697605513
30.35952064,474,31,17.4,26,307.989,21.448,14.477,1.398,14.859,11.409,1.919,10.364,72.37416038,3.320929661,9.060431419,0.341432714
37.34507836,358,59.8,53.6,24,351.537,20.962,11.572,1.349,7.184,64.951,1.81,13.53,69.8090496,3.524800547,4.109682805,0.306246032
25.45324183,243,47.1,26.9,15,207.548,16.209,51.659,2.085,4.361,75.867,1.548,5.474,30.530985,2.430904329,2.033850018,0.215693015
3.922974496,468,12,6.9,19,284.516,15.405,2.244,2.421,3.876,8.3,1.471,5.333,6.201796027,0.314913113,1.05776176,0.074937425
42.29232818,337,52.1,38.7,35,371.466,41.579,18.912,1.461,11.947,53.384,1.243,18.299,93.55192383,4.572307432,8.32689434,0.428592163
7.364539588,238,28.8,19.1,25,104.161,29.546,31.806,1.748,3.538,53.455,1.675,5.926,11.09699875,0.940864201,1.381425154,0.122659071
22.39065861,336,31.2,21.7,18,373.011,18.894,49.628,2.009,8.495,61.73,1.63,16.417,42.96921046,2.283765618,4.566529666,0.252183066
12.89562634,324,21.8,14.3,16,396.413,18.311,9.365,2.099,11.819,39.76,1.224,9.907,25.08149931,1.352130378,2.252822167,0.157276727
21.35614053,335,46.9,34.7,23,365.977,18.98,8.4,2.206,9.931,33.763,2.072,9.497,29.52577599,1.49121509,3.740535492,0.223025328
28.74116563,152,25.6,13.3,25,145.543,25.772,33.108,1.96,7.463,38.197,2.313,6.644,37.94300867,3.750123491,2.914704833,0.389880929
8.542456212,402,21.6,14,19,234.764,18.252,63.814,1.227,7.583,43.875,2.023,5.167,17.86568764,1.007010276,1.490495414,0.075500349
4.988220834,281,13.4,7.1,24,176.348,25.839,24.756,2.286,10.078,33.552,2.448,15.771,7.777061505,0.494720554,0.764269058,0.06075238
8.009833043,273,23.5,12.2,23,458.999,20.974,66.501,1.791,13.377,53.216,2.377,13.309,1.343774178,0.101548581,0.626840731,0.062158114
41.69824849,387,45.9,34.1,23,249.593,22.635,33.764,1.619,4.793,74.41,1.332,12.35,72.04795685,3.793066357,5.189600425,0.278745591
36.14667623,268,56.5,31,15,270.079,12.086,24.179,1.318,13.014,62.473,1.859,11.64,3.161693155,0.207883528,2.166523095,0.208038904
44.28966506,339,50.5,32,23,158.536,21.601,1.666,2.387,2.203,5.483,2.364,13.712,53.88705499,3.505799278,7.638589117,0.535062004
13.20290894,376,49.1,42.9,23,198.01,19.658,14.723,2.492,9.764,30.871,2.079,19.249,22.88930989,1.213470699,1.466498472,0.118562638
18.65205367,132,30.6,20.8,32,135.262,37.081,40.521,2.187,2.705,78.295,1.702,7.544,25.03950049,2.456563627,3.040211814,0.245700392
12.26057564,446,21.8,13.4,17,356.242,17.557,61.783,2.337,5.734,71.829,2.062,7.143,23.43253178,1.139784711,1.884354633,0.099848199
9.075079381,215,41.8,35.9,25,350.913,24.329,21.615,2.407,11.939,74.784,1.329,12.443,7.476828968,0.46679596,1.877634011,0.132021019
20.58793404,332,52.5,46,32,131.933,26.164,21.391,1.972,13.59,25.103,1.491,14.917,40.38349104,2.395738245,3.030754835,0.298631051
43.32684626,168,57.8,45.2,27,161.401,24.607,38.662,2.117,5.218,14.791,1.716,7.478,51.73804129,4.804087718,3.164185165,0.420990195
9.208235174,351,23.3,16,34,121.131,31.082,1.415,1.789,3.421,42.37,2.072,16.947,12.48141829,0.718179585,1.50352323,0.080894049
11.86110827,230,24,17.4,21,101.09,23.414,28.527,1.585,10.874,24.28,1.532,7.312,19.31309131,1.635152208,1.517629539,0.136292185
17.23855372,215,53,45.7,31,220.13,26.526,8.579,1.657,4.464,7.227,2.268,15.165,17.96620527,1.246389132,0.777162173,0.107237862
36.51541534,224,31.8,18.4,19,239.35,20.13,47.718,2.107,14.933,18.107,1.956,11.002,56.72829694,3.787506778,10.34770652,0.527281351
6.473420055,257,18.7,10.9,34,369.423,36.73,29.707,1.775,9.619,37.661,1.339,9.317,9.62596834,0.599844624,0.667741865,0.036532459
33.35040459,289,39.9,23.8,27,136.821,26.694,16.213,1.213,9.351,16.509,2.033,13.641,53.75569488,3.614162118,3.706636358,0.365516751
41.40120864,292,41.1,20.8,18,390.544,15.398,13.822,2.425,5.059,10.69,2.332,6.28,50.98597944,2.874907296,2.740937892,0.248261617
6.616818601,308,33.3,27.2,19,323.58,18.827,17.067,1.529,4.855,56.371,1.241,5.449,6.655783686,0.399635002,0.55215722,0.041801193
36.66905664,386,53.7,47.2,16,388.953,14.965,17.859,2.062,9.928,34.955,1.208,14.489,82.67472998,3.972430983,12.69794606,0.422960392
66.73153744,252,57.5,34,28,477.742,25.355,59.461,1.294,2.23,47.305,2.405,12.48,79.35695039,5.090269208,15.40728309,0.612387194
42.07723036,400,44.1,28.4,33,233.979,32.024,16.165,1.56,3.426,53.755,2.397,6.734,64.84050372,3.377395013,8.456162636,0.311421106
44.88374475,144,58.7,30.8,20,265.192,19.856,40.444,2.41,8.394,13.784,2.429,15.057,7.913138979,0.629309295,6.5751456,0.611332883
84.46174332,245,50.5,30.6,28,442.366,23.114,52.698,1.922,14.571,60.911,2.113,7.051,96.72902686,5.868739259,6.882287652,0.42540774
58.95728772,403,40.1,20.5,27,351.096,23.509,62.236,1.705,12.889,8.433,2.346,15.789,118.1887491,5.579169304,23.23694252,0.685871517
2.427532521,182,10.8,5.7,30,280.736,24.055,61.515,1.884,6.74,21.155,1.257,19.849,1.504574685,0.11856487,0.261462664,0.022997463
17.08491242,196,26.1,15.7,29,315.662,27.073,51.339,2.223,13.493,49.611,1.47,18.134,15.35735792,1.06913785,1.932176624,0.149840761
11.97377855,259,25.6,17.4,21,416.344,18.85,50.826,1.699,6.415,46.697,1.705,14.127,15.16640364,0.92994563,1.876807784,0.117787302
25.62736864,366,45,31.5,31,381.281,29.433,69.068,2.026,14.641,11.072,2.43,6.735,26.95740854,1.621157851,5.968257508,0.323275959
23.43541944,125,36.9,24.2,19,484.29,18.024,1.06,2.337,8.297,71.412,2.452,18.202,6.934496242,0.489818475,2.846959644,0.21203551
15.17976032,420,26.4,14.4,26,176.055,29.561,28.981,1.914,6.217,28.208,1.745,5.39,33.19207218,1.974240172,4.563394001,0.234432254
59.64355219,395,57.6,46.2,22,266.814,17.838,7.704,2.374,11.37,70.285,1.672,18.429,124.7536635,6.077219086,9.145974992,0.577556347
27.60422001,133,31.3,18.6,29,299.512,24.867,63.127,1.487,4.298,7.705,2.3,10.01,22.4782592,1.867483732,3.196476096,0.205671424
49.76953805,247,43.6,32.2,16,372.106,17.806,34.334,1.455,9.221,73.726,2.291,18.418,92.29321419,5.708780668,9.515074573,0.474066849
39.80333914,241,42,23.2,33,288.824,38.347,49.016,2.302,10.526,28.281,1.684,19.667,57.61933867,3.895262529,8.385893221,0.400310374
21.37662604,392,45,31,21,163.913,20.23,9.837,1.952,5.072,14.504,1.791,18.026,34.11798612,2.045559534,4.359789368,0.290212447
10.72416265,266,30.4,23.9,18,317.259,18.055,5.756,2.098,3.97,49.918,1.396,15.84,10.41651788,0.642064001,1.261219693,0.097760845
14.21694151,194,26.2,17.1,17,211.642,18.224,12.335,1.205,14.69,24.224,1.587,12.509,17.87678604,1.396016868,3.318488545,0.226305042
14.04281471,356,31.2,21.2,19,117.681,22.113,19.934,2.029,11.555,9.747,2.188,13.277,24.77503346,1.662989248,2.721323768,0.174926274
38.14401311,135,57.7,49.2,26,179.244,21.138,61.99,1.854,7.087,63.835,1.745,14.918,29.19383702,2.589837401,4.540699074,0.374337043
5.664242548,126,21.4,14.3,17,274.11,18.726,55.328,1.948,6.259,7.369,1.43,18.097,1.650977825,0.163821112,0.75930597,0.075096054
59.40796886,481,43.6,29.2,35,133.89,33.096,27.943,1.603,6.206,67.802,1.405,19.415,150.5272167,6.572815513,23.64920428,0.405652221
30.44146267,348,46.4,35.5,34,391.976,30.501,33.642,1.691,2.573,20.282,1.832,16.462,47.21127937,2.315229367,1.921063797,0.138995228
39.09658916,273,46,33.9,33,382.404,33.419,12.935,1.884,7.105,69.542,2.435,15.985,58.24826823,3.24408156,2.540462759,0.213855481
6.176380211,263,25.6,19.1,19,330.149,22.417,58.765,1.533,11.09,10.11,1.543,5.552,4.423851299,0.328000738,1.506078784,0.108284806
30.88190106,91,42.8,22.6,17,268.977,16.877,1.433,1.882,5.271,69.134,1.227,15.929,5.806557033,0.553370474,2.402154808,0.270482673
4.916521561,199,10.6,5.5,22,405.5,21.301,51.48,2.013,8.642,59.023,2.118,5.911,6.746178128,0.444948383,0.816387272,0.044577881
13.91990167,233,32,25.5,26,444.723,25.918,68.457,1.657,8.111,47.996,2.017,13.47,14.1194606,0.944784842,2.278012282,0.144008266
7.108470757,134,14.3,8,16,471.112,18.954,34.983,2.264,8.686,12.844,2.37,19.821,6.561898777,0.508089536,0.575506357,0.058709198
37.76503124,242,52.7,41.8,25,368.319,20.484,39.461,2.327,9.064,74.783,2.467,6.963,48.70616893,2.958665788,5.704766276,0.398315346
9.382361979,106,41.8,34.7,34,261.224,31.231,68.174,1.994,10.875,46.93,1.503,10.772,0.683305511,0.052176165,1.067052273,0.115526139
41.1041688,176,59.6,48.4,16,186.821,13.234,14.591,2.16,12.064,8.688,1.73,7.836,46.33803732,3.803261906,10.07737134,0.824894355
32.57195534,462,39.3,31.2,30,461.402,31.071,64.071,1.632,2.659,22.998,2.139,15.814,86.34381025,3.635575434,10.12369032,0.186250798
16.47034723,162,38.2,27,34,423.967,39.54,54.271,1.804,7.035,49.103,1.534,16.451,7.666199056,0.861859021,2.746658961,0.258280642
10.82659019,366,20.9,12.3,16,101.803,13.013,37.709,1.945,11.758,73.999,1.974,5.036,23.69757127,1.590385474,1.470727974,0.151082889
87.52432654,394,56.4,41.7,25,186.784,22.38,52.9,2.288,2.437,14.177,2.404,5.315,225.6956015,12.24396757,30.7662452,1.253516908
30.67704599,345,40.8,31.4,30,434.464,26.46,65.943,1.88,6.399,10.174,2.098,10.519,53.09845765,2.884355014,6.144197487,0.382265344
12.36300318,163,32.5,26.2,33,217.603,26.787,66.419,2.135,9.23,28.648,2.011,19.746,8.205164899,0.669396081,1.138821528,0.080442833
22.75939773,297,38.3,30.1,21,463.3,24.615,57.123,2.483,6.429,10.319,2.207,12.598,36.36949401,2.160681582,2.080600431,0.153556793
29.34548807,351,33.6,17.3,34,183.216,33.412,4.915,2.469,8.61,25.044,1.403,15.496,40.52415968,2.171718538,2.455024794,0.195000124
57.25699068,277,49.9,36.3,24,413.697,23.873,27.341,2.27,11.604,52.476,1.715,7.849,94.33689782,5.298350689,3.923528994,0.392358299
74.10631978,209,49.6,30.4,29,144.59,34.454,45.291,2.044,13.305,73.605,1.624,5.289,132.0620473,9.843832736,14.73860031,0.991737021
20.44453549,391,44.3,35.6,26,105.901,28.229,2.625,1.994,7.443,35.415,2.452,9.559,42.05412229,2.726168816,6.893655312,0.351686863
19.56365871,143,27.5,19.2,16,275.224,17.426,23.577,1.543,12.427,50.044,2.173,13.382,18.98771624,1.500170446,3.605851625,0.172997736
12.21960463,158,38.7,31.4,22,242.694,18.02,25.137,1.312,3.181,49.66,2.29,8.232,11.79927508,0.968001174,0.475863141,0.070060552
9.689644576,303,17.8,11.8,27,104.855,23.803,54.492,1.952,11.529,7.687,1.985,17.138,22.4704287,1.431966005,2.597278232,0.148326432
90.66885179,135,51.6,29.5,32,409.484,37.535,39.077,1.201,7.495,40.927,1.21,16.91,100.6019396,8.42771428,12.1977179,0.708759341
6.70900338,408,20.5,14.9,25,237.121,25.157,1.179,1.752,6.357,13.566,1.997,16.591,9.414859928,0.479293166,0.754484544,0.045599125
